"filename", "language", "C++", "Python", "Shell Script", "Markdown", "comment", "blank", "total"
"d:\OI\Code\Comp\23-05-14 蓝桥杯\test\A.cpp", "C++", 17, 0, 0, 0, 0, 5, 22
"d:\OI\Code\Comp\23-05-14 蓝桥杯\test\B.cpp", "C++", 17, 0, 0, 0, 0, 5, 22
"d:\OI\Code\Comp\23-05-28 LG\A.cpp", "C++", 31, 0, 0, 0, 0, 7, 38
"d:\OI\Code\Comp\23-05-28 蓝桥杯国赛\A.cpp", "C++", 44, 0, 0, 0, 0, 9, 53
"d:\OI\Code\Comp\23-05-28 蓝桥杯国赛\B.cpp", "C++", 33, 0, 0, 0, 0, 8, 41
"d:\OI\Code\Comp\23-05-28 蓝桥杯国赛\C.cpp", "C++", 89, 0, 0, 0, 4, 14, 107
"d:\OI\Code\Comp\23-05-28 蓝桥杯国赛\D.cpp", "C++", 14, 0, 0, 0, 0, 5, 19
"d:\OI\Code\Comp\23-05-28 蓝桥杯国赛\E.cpp", "C++", 47, 0, 0, 0, 0, 11, 58
"d:\OI\Code\Comp\23-05-28 蓝桥杯国赛\F.cpp", "C++", 39, 0, 0, 0, 0, 10, 49
"d:\OI\Code\Comp\23-06-11 夏令营\A.cpp", "C++", 126, 0, 0, 0, 1, 22, 149
"d:\OI\Code\Comp\23-06-11 夏令营\B.cpp", "C++", 28, 0, 0, 0, 0, 8, 36
"d:\OI\Code\Comp\23-07-07 CF883\A.cpp", "C++", 39, 0, 0, 0, 0, 8, 47
"d:\OI\Code\Comp\23-07-07 CF883\B.cpp", "C++", 83, 0, 0, 0, 0, 14, 97
"d:\OI\Code\Comp\23-07-07 CF883\C.cpp", "C++", 74, 0, 0, 0, 8, 22, 104
"d:\OI\Code\Comp\23-07-08 LG\A.cpp", "C++", 39, 0, 0, 0, 0, 9, 48
"d:\OI\Code\Comp\23-07-08 LG\B.cpp", "C++", 66, 0, 0, 0, 0, 11, 77
"d:\OI\Code\Comp\23-07-09 ARC\A.cpp", "C++", 34, 0, 0, 0, 0, 10, 44
"d:\OI\Code\Comp\23-07-14 LG\A.cpp", "C++", 18, 0, 0, 0, 0, 7, 25
